1628859494468921122,433895.96182373195,7626093.947292955
1628859494540791250,433869.75202417636,7625118.404980695
1628859494667028841,433770.9639260903,7621420.969484408
1628859494739010085,433745.844672852,7620486.252140116
1628859494870916668,433655.71344494546,7617113.6951106675
1628859494942897429,433632.7453218585,7616259.771897532
1628859495069062061,433582.774041782,7614398.425630832
1628859495141035444,433515.88307459187,7611890.757985756
1628859495272939229,433462.38568766165,7609896.223231645
1628859495332915288,433438.2747664002,7608997.4456238765
1628859495471059622,433363.9314069076,7606219.36751953
1628859495531033360,433344.5174517084,7605497.372875276
1628859495680968649,433255.7063998377,7602175.361623828
1628859495740966012,433233.220388552,7601337.501565945
1628859495873994771,433168.4587676234,7598917.996801615
1628859495934004944,433153.28476873774,7598355.565110116
1628859496089994650,433129.26384158805,7597473.8159412695
1628859496144093602,433099.2049927196,7596350.64890342
1628859496276056937,433078.4026349825,7595587.105663708
1628859496335984525,433068.92617695674,7595239.403054696
1628859496473931826,432994.43617567944,7592454.134875731
1628859496546062489,432975.655106558,7591757.238232031
1628859496665951819,432938.2358898041,7590365.889286711
1628859496744157736,432921.50983939064,7589747.976107232
1628859496870953520,432842.7031665835,7586795.936759004
1628859496936937984,432825.7953952458,7586169.520739419
1628859497068829295,432808.37308717816,7585533.225961548
1628859497195110279,432725.98629451223,7582447.476034387
1628859497284980553,432717.1896221156,7582130.183082148
1628859497338856400,432711.8801955399,7581937.999838001
1628859497470796530,432611.57041332545,7578174.818267958
1628859497602818615,432573.36038281105,7576754.257281707
1628859497669045807,432523.9098970772,7574899.568541029
1628859497741083196,432502.6176601375,7574107.440970124
1628859497867008010,432447.9748196745,7572066.848976732
1628859497998961747,432418.97187855287,7570993.466034481
1628859498077090412,432403.0505785233,7570405.647429831
1628859498142824676,432358.7194636105,7568742.518349494
1628859498280964586,432332.08930187474,7567760.343668082
1628859498400941072,432260.01785489713,7565059.656845719
1628859498472824221,432244.611354927,7564489.592355836
1628859498611032230,432182.2492036638,7562158.2989202095
1628859498671083555,432165.0807481344,7561519.992294358
1628859498802956802,432131.5139949362,7560274.101260743
1628859498881065945,432087.5627778337,7558628.105528762
1628859499013068444,432060.50859709515,7557628.188502371
1628859499073142007,432046.14383878076,7557095.756211857
